probPopping,Threshold,ShareOptimal,Time,NoResolution
0,70,0.72606,9.915830726,0
0.05,70,0.73682,11.66906758,16
0.1,70,0.70849,14.09706666,5511
0.15,70,0.62604,14.02715599,35619
0.2,70,0.51424,16.00130059,48575
0,75,0.7353,10.06551286,0
0.05,75,0.74321,11.8567256,15
0.1,75,0.70975,14.26012098,6332
0.15,75,0.62771,14.14735934,35996
0.2,75,0.5116,16.23514234,48840
0,80,0.74082,10.25790653,0
0.05,80,0.75064,12.04539463,13
0.1,80,0.71402,14.40688979,7073
0.15,80,0.62866,14.29986322,36288
0.2,80,0.50772,16.42051353,49228
0,90,0.75728,10.53500348,0
0.05,90,0.76098,12.38793461,22
0.1,90,0.71742,14.63392716,8775
0.15,90,0.62762,14.52440206,36846
0.2,90,0.50112,16.792789,49888
0,100,0.76912,10.80426312,0
0.05,100,0.76732,12.69459668,45
0.1,100,0.71986,14.78505693,10652
0.15,100,0.62926,14.80580989,36900
0.2,100,0.49777,17.06525363,50223
0,110,0.77816,11.04812819,0
0.05,110,0.77319,12.98683263,53
0.1,110,0.72279,14.89920054,12331
0.15,110,0.62532,15.08380382,37389
0.2,110,0.49734,17.37214691,50266
0,120,0.78854,11.24389351,0
0.05,120,0.77795,13.23499146,65
0.1,120,0.7257,14.96316517,14090
0.15,120,0.62393,15.2929606,37568
0.2,120,0.49331,17.68904951,50669
0,130,0.79601,11.42844879,0
0.05,130,0.78417,13.44595945,105
0.1,130,0.72567,14.99737557,15939
0.15,130,0.62386,15.51346754,37601
0.2,130,0.4872,17.87298282,51280
0,140,0.8014,11.62402432,0
0.05,140,0.78587,13.68484631,107
0.1,140,0.73064,15.01831778,17290
0.15,140,0.61604,15.70323748,38389
0.2,140,0.48555,18.10326675,51445
0,150,0.80757,11.78815196,0
0.05,150,0.78982,13.84577534,134
0.1,150,0.72613,15.08120324,19125
0.15,150,0.61938,15.9110198,38062
0.2,150,0.47701,18.27678867,52299
0,160,0.81632,11.92554973,0
0.05,160,0.79593,14.02022354,199
0.1,160,0.72722,15.08763162,20526
0.15,160,0.62019,16.05281612,37980
0.2,160,0.478,18.45398176,52200
0,170,0.82119,12.07380263,0
0.05,170,0.79735,14.19969911,223
0.1,170,0.73176,15.07982094,21451
0.15,170,0.61737,16.20206103,38262
0.2,170,0.47429,18.65939037,52571
0,180,0.8256,12.21267955,0
0.05,180,0.79952,14.35624218,263
0.1,180,0.72962,15.11473668,22714
0.15,180,0.61586,16.39045678,38414
0.2,180,0.46839,18.78722032,53161
0,190,0.82823,12.34840393,0
0.05,190,0.80314,14.49755233,314
0.1,190,0.72782,15.12753503,23773
0.15,190,0.61542,16.51546737,38458
0.2,190,0.46602,18.9405851,53398
0,200,0.83237,12.46494124,0
0.05,200,0.80539,14.62840192,396
0.1,200,0.72923,15.20609447,24318
0.15,200,0.611,16.66396327,38900
0.2,200,0.46392,19.12603982,53608
0,210,0.8361,12.58844808,0
0.05,210,0.80797,14.74967465,463
0.1,210,0.73207,15.2316215,24780
0.15,210,0.61331,16.78579029,38669
