startingContents,"(1, 1, 1)"
increaseBy,"(3, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.33453,1.0,0
0.05,2,0.35774,1.07544,0
0.1,2,0.37594,1.1684885337387112,11
0.2,2,0.42133,1.467344748377519,307
0.0,3,0.53139,1.5993760000004995,0
0.05,3,0.54234,1.6963149631500711,1
0.1,3,0.55081,1.8695416037371966,21
0.2,3,0.55231,2.5867340871532374,772
0.0,4,0.64233,1.9270144285732298,0
0.05,4,0.63932,2.1417845000018314,0
0.1,4,0.63323,2.4444162367059525,19
0.2,4,0.61583,3.6729076819974726,1585
0.0,5,0.62168,2.602303794373954,0
0.05,5,0.63609,2.8113920706320847,1
0.1,5,0.64222,3.1399214547989325,22
0.2,5,0.6296,4.55397279368832,2504
0.0,6,0.68424,2.7837209297384935,0
0.05,6,0.68837,3.0258590431245778,0
0.1,6,0.68307,3.440101686599245,29
0.2,6,0.65313,5.0575751364438535,3646
0.0,7,0.72235,2.916569878955426,0
0.05,7,0.71653,3.252636131034071,1
0.1,7,0.70843,3.7481157399583163,28
0.2,7,0.66678,5.517946955113993,4558
0.0,8,0.72248,3.3170867010606284,0
0.05,8,0.72512,3.6193383363822833,1
0.1,8,0.71844,4.108125056658584,20
0.2,8,0.67423,5.980147944492963,5513
0.0,9,0.74904,3.418583424160529,0
0.05,9,0.74881,3.737310410553519,1
0.1,9,0.73453,4.304472786026662,29
0.2,9,0.67943,6.25842995331957,6367
0.0,10,0.77519,3.4872880758147624,0
0.05,10,0.75813,3.915171382256454,1
0.1,10,0.7454,4.507660961874366,25
0.2,10,0.68487,6.479058283989987,7096
0.0,11,0.77085,3.7854423108486976,0
0.05,11,0.76834,4.146177452248899,1
0.1,11,0.7538,4.738497363814824,23
0.2,11,0.68844,6.743791262576488,7852
0.0,12,0.79035,3.839198228707069,0
0.05,12,0.78129,4.239984008331705,0
0.1,12,0.75978,4.901247766433134,30
0.2,12,0.69476,6.909319714543773,8279
0.0,13,0.80459,3.89089918801418,0
0.05,13,0.78944,4.363228842883389,1
0.1,13,0.76557,5.055095200785577,27
0.2,13,0.69469,7.068789143839443,9020
0.0,14,0.80487,4.113272464337498,0
0.05,14,0.79622,4.512053497951341,0
0.1,14,0.77441,5.19626699041751,36
0.2,14,0.69596,7.191904862343257,9812
0.0,15,0.81518,4.154087807224872,0
0.05,15,0.80177,4.599300463497754,0
0.1,15,0.77538,5.332249604597542,37
0.2,15,0.69542,7.291340085891042,10594
0.0,16,0.82684,4.189656029127575,0
0.05,16,0.80762,4.698577014448701,0
0.1,16,0.77998,5.4549731198059,30
0.2,16,0.69704,7.39275438978955,11131
0.0,17,0.82673,4.375057048552554,0
0.05,17,0.81282,4.815192130342,1
0.1,17,0.78553,5.57009095076226,24
0.2,17,0.70087,7.457085853112882,11439
0.0,18,0.83542,4.403399032086892,0
0.05,18,0.81977,4.87318101984676,0
0.1,18,0.7881,5.66112195440682,32
0.2,18,0.69917,7.529203207092454,12209
0.0,19,0.84381,4.432082856552174,0
0.05,19,0.82124,4.970493640019247,1
0.1,19,0.79031,5.767585103664035,50
0.2,19,0.70261,7.594619337704539,12455
0.0,20,0.8423,4.5894294251283725,0
0.05,20,0.8257,5.05339750171841,0
0.1,20,0.79349,5.859703792662485,40
0.2,20,0.70419,7.627905704239245,12899
0.0,21,0.85139,4.60537774176089,0
0.05,21,0.8279,5.126604198864589,0
0.1,21,0.79387,5.962586840877446,48
0.2,21,0.70089,7.7211115921634015,13498
0.0,22,0.85746,4.631949413755743,0
0.05,22,0.82778,5.205165153384218,3
0.1,22,0.79805,6.039401471416047,30
0.2,22,0.70329,7.71084612327212,14115
0.0,23,0.85745,4.770216766968564,0
0.05,23,0.83445,5.277309141867335,3
