startingContents,"(1, 1, 1)"
increaseBy,"((3, 3), (2, 2), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.46722,0.41288,2.0806427478370946,0
0.05,5,0.48124,0.40193,2.2179489664520458,0
0.1,5,0.49139,0.39525,2.416271312485394,5
0.15,5,0.49952,0.38501,2.7403217020031407,71
0.2,5,0.50324,0.37704,3.3473427536449147,569
0.0,6,0.54748,0.3484,2.3420991684995465,0
0.05,6,0.54582,0.35564,2.4814228648462175,1
0.1,6,0.54459,0.35866,2.703974924838932,11
0.15,6,0.54645,0.35516,3.080428434106414,102
0.2,6,0.53749,0.35439,3.8539728089394907,781
0.0,7,0.5566,0.36192,2.3852942027986823,0
0.05,7,0.55847,0.35928,2.616876790806074,0
0.1,7,0.55351,0.36271,2.9157371610562524,15
0.15,7,0.55352,0.35631,3.368954599192293,99
0.2,7,0.5432,0.35811,4.276678073535699,1104
0.0,8,0.55289,0.36414,2.7868440204664098,0
0.05,8,0.55464,0.36595,2.953735244018359,1
0.1,8,0.55903,0.36364,3.217596870127125,13
0.15,8,0.55882,0.36003,3.691322712167336,108
0.2,8,0.54735,0.35799,4.640119713690611,1122
0.0,9,0.56254,0.37013,2.8116293503595475,0
0.05,9,0.57069,0.36138,3.0289635891704414,1
0.1,9,0.57149,0.3588,3.3413044249529653,5
0.15,9,0.5675,0.35564,3.8727038618817007,104
0.2,9,0.55397,0.35623,4.921501509566155,1328
0.0,10,0.60135,0.33556,2.943742015724589,0
0.05,10,0.5897,0.3472,3.1818673805275624,1
0.1,10,0.58413,0.35113,3.5080741220418514,7
0.15,10,0.57367,0.35267,4.084004290803596,118
0.2,10,0.56312,0.35062,5.185534733574905,1489
0.0,11,0.57115,0.37065,3.130662605129153,0
0.05,11,0.58243,0.35892,3.3676549554479487,0
0.1,11,0.58253,0.35521,3.6981599297658736,9
0.15,11,0.57517,0.35601,4.281567588591366,121
0.2,11,0.56621,0.34927,5.46320919921031,1600
0.0,12,0.59871,0.34673,3.237299029869761,0
0.05,12,0.59651,0.35004,3.4682320664961446,0
0.1,12,0.59005,0.35346,3.8266217826271216,7
0.15,12,0.58548,0.35061,4.421561537444241,123
0.2,12,0.56872,0.3507,5.656358969466302,1785
0.0,13,0.60591,0.34701,3.2497559116750643,0
0.05,13,0.6023,0.34976,3.5601726915787566,1
0.1,13,0.59634,0.34859,3.9570557749435737,10
0.15,13,0.588,0.34929,4.578368287615179,133
0.2,13,0.57416,0.34655,5.853202467577575,1887
0.0,14,0.60139,0.35049,3.4716548772046028,0
0.05,14,0.60289,0.35097,3.702894942281214,1
0.1,14,0.5995,0.34842,4.091409843907306,13
0.15,14,0.58959,0.34867,4.726659373057911,164
0.2,14,0.57553,0.34661,6.026916137167725,1982
