probPopping,threshold,numChoices,share1,share2,time,noResolution,startingContents,increaseRates
0,5,2,0.71418,0.28582,2.0779702857152036,0,"(1, 1)","((2,), (1,))"
0,5,2,0.73441,0.26559,1.9728901666659149,0,"(1, 1)","((3,), (1,))"
0,5,2,0.79587,0.20413,1.6056143333337476,0,"(1, 1)","((4,), (1,))"
0,6,2,0.70838,0.29162,2.455718841270413,0,"(1, 1)","((2,), (1,))"
0,6,2,0.77996,0.22004,2.058404119045426,0,"(1, 1)","((3,), (1,))"
0,6,2,0.79435,0.20565,1.982886103174376,0,"(1, 1)","((4,), (1,))"
0,7,2,0.74526,0.25474,2.5426556803758094,0,"(1, 1)","((2,), (1,))"
0,7,2,0.81057,0.18943,2.1212263333313066,0,"(1, 1)","((3,), (1,))"
0,7,2,0.82233,0.17767,2.041464888888909,0,"(1, 1)","((4,), (1,))"
0,8,2,0.74358,0.25642,2.8160275452327386,0,"(1, 1)","((2,), (1,))"
0,8,2,0.80736,0.19264,2.3982151934713283,0,"(1, 1)","((3,), (1,))"
0,8,2,0.84559,0.15441,2.0824354480520038,0,"(1, 1)","((4,), (1,))"
0,9,2,0.77186,0.22814,2.8736122486404345,0,"(1, 1)","((2,), (1,))"
0,9,2,0.83064,0.16936,2.4331353503697066,0,"(1, 1)","((3,), (1,))"
0,9,2,0.86135,0.13865,2.1193105130426053,0,"(1, 1)","((4,), (1,))"
0,10,2,0.7676,0.2324,3.0898327956353624,0,"(1, 1)","((2,), (1,))"
0,10,2,0.84532,0.15468,2.4783187264663256,0,"(1, 1)","((3,), (1,))"
0,10,2,0.85866,0.14134,2.341883192398533,0,"(1, 1)","((4,), (1,))"
0,11,2,0.78653,0.21347,3.135442601262124,0,"(1, 1)","((2,), (1,))"
0,11,2,0.84558,0.15442,2.669547444877329,0,"(1, 1)","((3,), (1,))"
0,11,2,0.87562,0.12438,2.3598636448225583,0,"(1, 1)","((4,), (1,))"
0,12,2,0.78536,0.21464,3.3123470924039253,0,"(1, 1)","((2,), (1,))"
0,12,2,0.8578,0.1422,2.6955953596995696,0,"(1, 1)","((3,), (1,))"
0,12,2,0.88287,0.11713,2.3882641401722795,0,"(1, 1)","((4,), (1,))"
0,13,2,0.80005,0.19995,3.348469148907244,0,"(1, 1)","((2,), (1,))"
0,13,2,0.86916,0.13084,2.716219766114014,0,"(1, 1)","((3,), (1,))"
0,13,2,0.88965,0.11035,2.409349719703528,0,"(1, 1)","((4,), (1,))"
0,14,2,0.79871,0.20129,3.4975086516413674,0,"(1, 1)","((2,), (1,))"
0,14,2,0.86534,0.13466,2.875031042646587,0,"(1, 1)","((3,), (1,))"
0,14,2,0.89075,0.10925,2.5594762311535315,0,"(1, 1)","((4,), (1,))"
0,15,2,0.81142,0.18858,3.526918565987501,0,"(1, 1)","((2,), (1,))"
0,15,2,0.87589,0.12411,2.888572335711383,0,"(1, 1)","((3,), (1,))"
0,15,2,0.89746,0.10254,2.5772027203931107,0,"(1, 1)","((4,), (1,))"
0,16,2,0.8134,0.1866,3.6573662603036996,0,"(1, 1)","((2,), (1,))"
0,16,2,0.88365,0.11635,2.9028364579975827,0,"(1, 1)","((3,), (1,))"
0,16,2,0.90465,0.09535,2.5850051487591372,0,"(1, 1)","((4,), (1,))"
0,17,2,0.82231,0.17769,3.6761430130537947,0,"(1, 1)","((2,), (1,))"
0,17,2,0.8835,0.1165,3.027977430788469,0,"(1, 1)","((3,), (1,))"
0,17,2,0.91019,0.08981,2.598192401581327,0,"(1, 1)","((4,), (1,))"
0,18,2,0.82307,0.17693,3.794014104108433,0,"(1, 1)","((2,), (1,))"
0,18,2,0.88915,0.11085,3.0414090511347354,0,"(1, 1)","((3,), (1,))"
0,18,2,0.90973,0.09027,2.7156027677791634,0,"(1, 1)","((4,), (1,))"
0,19,2,0.82912,0.17088,3.8158934517476935,0,"(1, 1)","((2,), (1,))"
0,19,2,0.89392,0.10608,3.0545117375497823,0,"(1, 1)","((3,), (1,))"
0,19,2,0.91435,0.08565,2.724166748781994,0,"(1, 1)","((4,), (1,))"
0,20,2,0.82805,0.17195,3.92265600343014,0,"(1, 1)","((2,), (1,))"
0,20,2,0.8965,0.1035,3.1548087457878706,0,"(1, 1)","((3,), (1,))"
0,20,2,0.91768,0.08232,2.7322878787901237,0,"(1, 1)","((4,), (1,))"
0,21,2,0.8365,0.1635,3.9413952956517475,0,"(1, 1)","((2,), (1,))"
0,21,2,0.89884,0.10116,3.171788941931841,0,"(1, 1)","((3,), (1,))"
0,21,2,0.92215,0.07785,2.739143994444755,0,"(1, 1)","((4,), (1,))"
0,22,2,0.83676,0.16324,4.029076693931858,0,"(1, 1)","((2,), (1,))"
0,22,2,0.90414,0.09586,3.180271978644307,0,"(1, 1)","((3,), (1,))"
0,22,2,0.92343,0.07657,2.8267131607960794,0,"(1, 1)","((4,), (1,))"
0,23,2,0.84357,0.15643,4.043553310057627,0,"(1, 1)","((2,), (1,))"
0,23,2,0.90373,0.09627,3.26550731470143,0,"(1, 1)","((3,), (1,))"
0,23,2,0.92544,0.07456,2.8428411197915273,0,"(1, 1)","((4,), (1,))"
0,24,2,0.8434,0.1566,4.13054042475021,0,"(1, 1)","((2,), (1,))"
0,24,2,0.90748,0.09252,3.276028521838094,0,"(1, 1)","((3,), (1,))"
0,24,2,0.92958,0.07042,2.8402610868270863,0,"(1, 1)","((4,), (1,))"
0,25,2,0.84966,0.15034,4.143302585546447,0,"(1, 1)","((2,), (1,))"
0,25,2,0.911,0.089,3.289328351507167,0,"(1, 1)","((3,), (1,))"
0,25,2,0.93204,0.06796,2.8561839937327242,0,"(1, 1)","((4,), (1,))"
0,26,2,0.8502,0.1498,4.222681160583411,0,"(1, 1)","((2,), (1,))"
0,26,2,0.9113,0.0887,3.3626414183461777,0,"(1, 1)","((3,), (1,))"
0,26,2,0.93308,0.06692,2.9312065610862437,0,"(1, 1)","((4,), (1,))"
0,27,2,0.85305,0.14695,4.231265425041421,0,"(1, 1)","((2,), (1,))"
0,27,2,0.91435,0.08565,3.372005339056472,0,"(1, 1)","((3,), (1,))"
0,27,2,0.93413,0.06587,2.940340337864372,0,"(1, 1)","((4,), (1,))"
0,28,2,0.85509,0.14491,4.305721833298321,0,"(1, 1)","((2,), (1,))"
0,28,2,0.9184,0.0816,3.3729255541461844,0,"(1, 1)","((3,), (1,))"
0,28,2,0.937,0.063,2.9395831787603734,0,"(1, 1)","((4,), (1,))"
0,29,2,0.8584,0.1416,4.318430079223358,0,"(1, 1)","((2,), (1,))"
0,29,2,0.9189,0.0811,3.44558700365634,0,"(1, 1)","((3,), (1,))"
0,29,2,0.93823,0.06177,2.9473859275129444,0,"(1, 1)","((4,), (1,))"
0,30,2,0.85955,0.14045,4.3908192726286455,0,"(1, 1)","((2,), (1,))"
0,30,2,0.921,0.079,3.4490126554422975,0,"(1, 1)","((3,), (1,))"
0,30,2,0.93786,0.06214,3.028299503246779,0,"(1, 1)","((4,), (1,))"
0,31,2,0.86418,0.13582,4.38871258191438,0,"(1, 1)","((2,), (1,))"
0,31,2,0.92411,0.07589,3.4558365404450684,0,"(1, 1)","((3,), (1,))"
0,31,2,0.9417,0.0583,3.0175532113359385,0,"(1, 1)","((4,), (1,))"
0,32,2,0.86326,0.13674,4.454728327690496,0,"(1, 1)","((2,), (1,))"
0,32,2,0.92389,0.07611,3.5218201361512387,0,"(1, 1)","((3,), (1,))"
0,32,2,0.94313,0.05687,3.0225708765629995,0,"(1, 1)","((4,), (1,))"
0,33,2,0.86735,0.13265,4.468280209379637,0,"(1, 1)","((2,), (1,))"
