probPopping,threshold,numTargets,optimal,optimal2,increase2,time,noResolution
0,5,2,0.71225,0.28775,1,2.0762580952390106,0
0,5,3,0.59127,0.2047,1,2.72679808550074,0
0,5,4,0.51928,0.16032,1,3.31580980907994,0
0,6,2,0.70696,0.29304,1,2.456784000000536,0
0,6,3,0.58461,0.20819,1,3.275321356145076,0
0,6,4,0.50405,0.1651,1,4.032441266966134,0
0,7,2,0.74649,0.25351,1,2.5413236341997667,0
0,7,3,0.63577,0.18381,1,3.4507013133565034,0
0,7,4,0.56845,0.14373,1,4.291208140779407,0
0,8,2,0.74292,0.25708,1,2.8189852561884954,0
0,8,3,0.62815,0.18557,1,3.8565601844518604,0
0,8,4,0.56221,0.14822,1,4.83299643835,0
0,9,2,0.76986,0.23014,1,2.873513674547892,0
0,9,3,0.66293,0.16813,1,3.982842906647506,0
0,9,4,0.6009,0.13359,1,5.018463227565886,0
0,10,2,0.76963,0.23037,1,3.089543200449504,0
0,10,3,0.66352,0.16859,1,4.295327409759167,0
0,10,4,0.5991,0.13231,1,5.443721430785922,0
0,11,2,0.78881,0.21119,1,3.1313454319860963,0
0,11,3,0.68986,0.15478,1,4.387975817943625,0
0,11,4,0.62655,0.1229,1,5.5925600570960805,0
0,12,2,0.78701,0.21299,1,3.3106055160858516,0
0,12,3,0.68588,0.15774,1,4.659243044324773,0
0,12,4,0.62471,0.12562,1,5.937065008784965,0
0,13,2,0.80106,0.19894,1,3.34487512047466,0
0,13,3,0.70695,0.14773,1,4.72472869972033,0
0,13,4,0.64894,0.11617,1,6.056995007679872,0
0,14,2,0.79777,0.20223,1,3.5017546117205964,0
0,14,3,0.70612,0.14595,1,4.952026213410275,0
0,14,4,0.64901,0.11805,1,6.349391431376555,0
0,15,2,0.81006,0.18994,1,3.5268973172211346,0
0,15,3,0.72419,0.13742,1,5.010328505588529,0
0,15,4,0.66913,0.10882,1,6.4417637634221405,0
0,16,2,0.81015,0.18985,1,3.6584407086246986,0
0,16,3,0.72195,0.14002,1,5.210073520488273,0
0,16,4,0.66818,0.11079,1,6.7070869928961425,0
0,17,2,0.82328,0.17672,1,3.6779911685416304,0
0,17,3,0.73715,0.13226,1,5.254109206613503,0
0,17,4,0.68233,0.10782,1,6.791843513093804,0
0,18,2,0.81969,0.18031,1,3.7997512139668146,0
0,18,3,0.73775,0.13188,1,5.424458951186601,0
0,18,4,0.68211,0.10607,1,7.0214110870594775,0
0,19,2,0.8315,0.1685,1,3.8101047381011846,0
0,19,3,0.75171,0.12412,1,5.469780555834717,0
0,19,4,0.69999,0.09933,1,7.083244570113891,0
0,20,2,0.83174,0.16826,1,3.9148744614351556,0
0,20,3,0.74996,0.12593,1,5.628062481270563,0
0,20,4,0.69972,0.10065,1,7.281334747099134,0
0,21,2,0.83686,0.16314,1,3.938020225673066,0
0,21,3,0.76008,0.12117,1,5.660297063429351,0
0,21,4,0.71048,0.09583,1,7.336089333504712,0
0,22,2,0.83749,0.16251,1,4.026591099120635,0
0,22,3,0.76013,0.11965,1,5.803910056795672,0
0,22,4,0.70962,0.09687,1,7.529794728589802,0
0,23,2,0.84417,0.15583,1,4.041281832112517,0
0,23,3,0.77102,0.11529,1,5.829157118624613,0
0,23,4,0.72111,0.09145,1,7.583887991074391,0
0,24,2,0.84269,0.15731,1,4.1335641195376995,0
0,24,3,0.77061,0.11467,1,5.954817615942749,0
0,24,4,0.7234,0.09224,1,7.742003946066494,0
0,25,2,0.84978,0.15022,1,4.139703438427402,0
0,25,3,0.77536,0.11104,1,5.995126207155867,0
0,25,4,0.73244,0.08975,1,7.789571236602214,0
0,26,2,0.85064,0.14936,1,4.21901109385883,0
0,26,3,0.77707,0.11138,1,6.112749093781775,0
0,26,4,0.73094,0.09057,1,7.95097915668403,0
0,27,2,0.85687,0.14313,1,4.229270408155932,0
0,27,3,0.78753,0.10564,1,6.128544668508656,0
0,27,4,0.73761,0.08871,1,7.994286377697485,0
0,28,2,0.85448,0.14552,1,4.304455315160082,0
0,28,3,0.78618,0.10723,1,6.23426433008312,0
0,28,4,0.74331,0.0866,1,8.132180468447029,0
0,29,2,0.85869,0.14131,1,4.319250224490397,0
0,29,3,0.79239,0.10375,1,6.264641220624811,0
0,29,4,0.75109,0.08291,1,8.159301341946625,0
0,30,2,0.85934,0.14066,1,4.385191546105144,0
0,30,3,0.79254,0.10292,1,6.371873311578039,0
0,30,4,0.748,0.08478,1,8.29920430261973,0
0,31,2,0.86427,0.13573,1,4.395146589623911,0
0,31,3,0.79803,0.10139,1,6.387410302949643,0
0,31,4,0.75429,0.08144,1,8.348300596040751,0
0,32,2,0.86371,0.13629,1,4.460107148139322,0
0,32,3,0.79603,0.10232,1,6.4977899871373355,0
0,32,4,0.75572,0.08029,1,8.462966784481578,0
0,33,2,0.8676,0.1324,1,4.469418740315891,0
0,33,3,0.80323,0.09853,1,6.502663841145708,0
0,33,4,0.76056,0.07949,1,8.510211709415179,0
0,34,2,0.86683,0.13317,1,4.528347906383757,0
0,34,3,0.80308,0.09964,1,6.593861963037353,0
0,34,4,0.76117,0.08065,1,8.61556320096939,0
0,35,2,0.87064,0.12936,1,4.537440607505618,0
0,35,3,0.80736,0.09614,1,6.607386135444495,0
0,35,4,0.76693,0.07805,1,8.643604933275075,0
0,36,2,0.87292,0.12708,1,4.585129874236774,0
0,36,3,0.80865,0.0956,1,6.692800502538401,0
0,36,4,0.7675,0.07646,1,8.749789890744927,0
0,37,2,0.87451,0.12549,1,4.5999273677601185,0
0,37,3,0.81376,0.09301,1,6.705716315246456,0
0,37,4,0.77214,0.07678,1,8.796167479102975,0
0,38,2,0.87305,0.12695,1,4.657795909228189,0
0,38,3,0.81161,0.09546,1,6.799261523137901,0
0,38,4,0.77387,0.07468,1,8.884176397024541,0
0,39,2,0.87622,0.12378,1,4.662025763228375,0
0,39,3,0.81843,0.09085,1,6.797911507891192,0
0,39,4,0.77914,0.07308,1,8.907635835270302,0
0,40,2,0.87716,0.12284,1,4.709886429297113,0
0,40,3,0.8175,0.0898,1,6.884306802996385,0
0,40,4,0.78019,0.07399,1,9.013998016054929,0
0,41,2,0.88037,0.11963,1,4.7118779009295375,0
0,41,3,0.82178,0.08812,1,6.892802044764742,0
0,41,4,0.78337,0.07198,1,9.040432994394981,0
0,42,2,0.88092,0.11908,1,4.759070679964491,0
0,42,3,0.8188,0.09162,1,6.977755922123497,0
0,42,4,0.78498,0.07194,1,9.12532127820669,0
0,43,2,0.88496,0.11504,1,4.766793022099195,0
0,43,3,0.82607,0.087,1,6.983460864234136,0
0,43,4,0.78777,0.07015,1,9.156664374449948,0
0,44,2,0.88282,0.11718,1,4.819938288109276,0
0,44,3,0.82509,0.08569,1,7.053775006759896,0
0,44,4,0.78985,0.06901,1,9.240155232362422,0
0,45,2,0.88593,0.11407,1,4.818502766117038,0
0,45,3,0.82878,0.08599,1,7.06830694156142,0
0,45,4,0.79501,0.06812,1,9.256153992227759,0
0,46,2,0.88435,0.11565,1,4.867324431258868,0
0,46,3,0.83079,0.08516,1,7.11937540768761,0
0,46,4,0.79166,0.06874,1,9.354809682781415,0
0,47,2,0.88794,0.11206,1,4.867548170029059,0
0,47,3,0.83526,0.08161,1,7.136331437812742,0
0,47,4,0.7983,0.0673,1,9.361238437258413,0
0,48,2,0.88716,0.11284,1,4.910804926141031,0
0,48,3,0.83283,0.08413,1,7.204847406401299,0
0,48,4,0.79632,0.06761,1,9.44680019671343,0
0,49,2,0.89081,0.10919,1,4.914213444131738,0
0,49,3,0.8356,0.08108,1,7.212924629191215,0
0,49,4,0.80039,0.06636,1,9.46663432264696,0
0,50,2,0.89008,0.10992,1,4.956650323734818,0
0,50,3,0.83505,0.08181,1,7.279041560504214,0
0,50,4,0.80009,0.06638,1,9.550188100934918,0
0,51,2,0.89202,0.10798,1,4.962913202223677,0
0,51,3,0.83686,0.08106,1,7.283227198587946,0
0,51,4,0.80539,0.06481,1,9.564709098124114,0
0,52,2,0.89097,0.10903,1,5.005409812573148,0
0,52,3,0.83902,0.08067,1,7.340942234939047,0
0,52,4,0.80355,0.06518,1,9.646139584645944,0
0,53,2,0.89497,0.10503,1,5.0013832940213,0
0,53,3,0.84123,0.07928,1,7.347317523419164,0
0,53,4,0.80789,0.06477,1,9.65883512540594,0
0,54,2,0.89341,0.10659,1,5.038099420254989,0
0,54,3,0.84231,0.078,1,7.406277361317299,0
0,54,4,0.80739,0.06523,1,9.749687445203788,0
0,55,2,0.89446,0.10554,1,5.053552057263459,0
0,55,3,0.84219,0.07954,1,7.419437296873936,0
0,55,4,0.81055,0.06296,1,9.75352091514394,0
0,56,2,0.89557,0.10443,1,5.084658116330831,0
0,56,3,0.84522,0.07611,1,7.473642885996135,0
0,56,4,0.81078,0.06285,1,9.824769738237562,0
0,57,2,0.89625,0.10375,1,5.091683536340493,0
0,57,3,0.84718,0.07613,1,7.482579653200295,0
0,57,4,0.81398,0.06264,1,9.837104068005056,0
0,58,2,0.89618,0.10382,1,5.123906293632156,0
0,58,3,0.84836,0.07632,1,7.530810509698946,0
0,58,4,0.81314,0.06239,1,9.914376662957123,0
0,59,2,0.89917,0.10083,1,5.131115449990669,0
0,59,3,0.84792,0.07569,1,7.541539509020426,0
0,59,4,0.81548,0.06165,1,9.926794347542156,0
0,60,2,0.90069,0.09931,1,5.155950693200596,0
0,60,3,0.84803,0.07565,1,7.592718851149573,0
0,60,4,0.81629,0.06244,1,9.986283654097198,0
0,61,2,0.90111,0.09889,1,5.157030887012103,0
0,61,3,0.85138,0.07392,1,7.600153785144821,0
0,61,4,0.8212,0.05944,1,9.987529482082273,0
0,62,2,0.89976,0.10024,1,5.198425912963909,0
0,62,3,0.85191,0.07408,1,7.646397396333478,0
0,62,4,0.81859,0.06122,1,10.059994380959788,0
0,63,2,0.90223,0.09777,1,5.2009232439329915,0
0,63,3,0.85233,0.07428,1,7.656713472522203,0
0,63,4,0.82414,0.05862,1,10.065247222804116,0
0,64,2,0.9006,0.0994,1,5.2410526413279355,0
0,64,3,0.85319,0.07398,1,7.701281661714314,0
0,64,4,0.8222,0.05858,1,10.145430617369975,0
0,65,2,0.90252,0.09748,1,5.232301398164423,0
0,65,3,0.85489,0.07126,1,7.709650226587162,0
0,65,4,0.82461,0.05853,1,10.159811474944668,0
0,66,2,0.90297,0.09703,1,5.263076416931775,0
0,66,3,0.85625,0.07046,1,7.756586178740223,0
0,66,4,0.82321,0.05837,1,10.20421633723201,0
0,67,2,0.90514,0.09486,1,5.264801223491367,0
0,67,3,0.85869,0.07152,1,7.758417824955445,0
0,67,4,0.82588,0.0582,1,10.221312613202953,0
0,68,2,0.90477,0.09523,1,5.296346189672832,0
0,68,3,0.85791,0.07048,1,7.805196266088878,0
0,68,4,0.82712,0.05763,1,10.288193108671903,0
0,69,2,0.90639,0.09361,1,5.296872916167444,0
0,69,3,0.86018,0.07002,1,7.812358889351787,0
0,69,4,0.83114,0.056,1,10.283868849771798,0
0,70,2,0.90489,0.09511,1,5.337236960523068,0
0,70,3,0.86228,0.06948,1,7.844367632590947,0
0,70,4,0.83002,0.05731,1,10.350680210554017,0
0,71,2,0.90676,0.09324,1,5.331202944623728,0
0,71,3,0.86143,0.06884,1,7.860030417372514,0
0,71,4,0.83292,0.05542,1,10.353894213503246,0
0,72,2,0.90767,0.09233,1,5.364917606196987,0
0,72,3,0.86046,0.06935,1,7.9180501942348736,0
0,72,4,0.83136,0.05564,1,10.419028060011803,0
0,73,2,0.90965,0.09035,1,5.359438832616268,0
0,73,3,0.86379,0.06798,1,7.911866841506255,0
0,73,4,0.83409,0.05597,1,10.411210275536154,0
0,74,2,0.90691,0.09309,1,5.39355065035511,0
0,74,3,0.86405,0.06834,1,7.94465808189126,0
0,74,4,0.83416,0.05534,1,10.476941189722913,0
0,75,2,0.90794,0.09206,1,5.39753481639476,0
0,75,3,0.86541,0.06825,1,7.945782292604792,0
0,75,4,0.83744,0.05406,1,10.469972416337935,0
0,76,2,0.91038,0.08962,1,5.418384110807258,0
0,76,3,0.86556,0.06752,1,7.996853164946005,0
0,76,4,0.83597,0.05402,1,10.538277066472407,0
0,77,2,0.9114,0.0886,1,5.420312722770343,0
0,77,3,0.86751,0.06591,1,7.993837859224639,0
0,77,4,0.83863,0.05316,1,10.54513398784854,0
0,78,2,0.91126,0.08874,1,5.450395532179615,0
0,78,3,0.86671,0.06655,1,8.042210613762105,0
0,78,4,0.83775,0.05529,1,10.604579527205834,0
0,79,2,0.91161,0.08839,1,5.449846519832808,0
0,79,3,0.8683,0.06576,1,8.039281295824813,0
0,79,4,0.8426,0.05228,1,10.5945167343369,0
0,80,2,0.91165,0.08835,1,5.475900915888499,0
0,80,3,0.8676,0.06689,1,8.089973848532125,0
0,80,4,0.84263,0.05219,1,10.653924190965133,0
0,81,2,0.9132,0.0868,1,5.473612884354855,0
0,81,3,0.87102,0.06494,1,8.087963322166384,0
0,81,4,0.84183,0.05266,1,10.670487122553899,0
0,82,2,0.91293,0.08707,1,5.505899306994931,0
0,82,3,0.86938,0.06436,1,8.123136197680536,0
0,82,4,0.84258,0.05187,1,10.712694046983584,0
0,83,2,0.91524,0.08476,1,5.503803578697887,0
0,83,3,0.8715,0.06417,1,8.129117533005504,0
0,83,4,0.84451,0.05237,1,10.717597549287257,0
0,84,2,0.91484,0.08516,1,5.523771453480327,0
0,84,3,0.8711,0.0636,1,8.166154367475048,0
0,84,4,0.84401,0.0528,1,10.774651466469594,0
0,85,2,0.91504,0.08496,1,5.531634604800261,0
0,85,3,0.87297,0.06376,1,8.170379916803162,0
0,85,4,0.84581,0.05192,1,10.77561893174329,0
0,86,2,0.9143,0.0857,1,5.558524317711942,0
0,86,3,0.87404,0.06417,1,8.20268982168777,0
0,86,4,0.84528,0.05161,1,10.832002645817363,0
0,87,2,0.91576,0.08424,1,5.554032703807012,0
0,87,3,0.87472,0.06156,1,8.207873539616893,0
0,87,4,0.84665,0.05149,1,10.84004339879863,0
0,88,2,0.91637,0.08363,1,5.574186884595802,0
0,88,3,0.87521,0.0613,1,8.252594540134684,0
0,88,4,0.84676,0.05143,1,10.876719047299902,0
0,89,2,0.91791,0.08209,1,5.580740774882647,0
0,89,3,0.8753,0.06289,1,8.241833646354209,0
0,89,4,0.84954,0.05013,1,10.898333044767796,0
0,90,2,0.91432,0.08568,1,5.609672206182214,0
0,90,3,0.87792,0.06128,1,8.26494791283853,0
0,90,4,0.85134,0.05001,1,10.92153632207642,0
0,91,2,0.91945,0.08055,1,5.597225819450643,0
0,91,3,0.8794,0.05962,1,8.285254846851517,0
0,91,4,0.85129,0.0494,1,10.932495457614563,0
0,92,2,0.91662,0.08338,1,5.628982748692869,0
0,92,3,0.87593,0.06123,1,8.324419474277239,0
0,92,4,0.85057,0.05059,1,10.98911834346278,0
0,93,2,0.92002,0.07998,1,5.627238374116614,0
0,93,3,0.88001,0.06058,1,8.312283516689616,0
0,93,4,0.85266,0.04898,1,10.981562892206886,0
0,94,2,0.91879,0.08121,1,5.649595910546922,0
0,94,3,0.87804,0.06072,1,8.364670173914561,0
0,94,4,0.85221,0.04895,1,11.029129937008703,0
0,95,2,0.91969,0.08031,1,5.650684455376673,0
0,95,3,0.87941,0.06062,1,8.361765721694955,0
0,95,4,0.85525,0.04879,1,11.03294156709273,0
0,96,2,0.91953,0.08047,1,5.668289110488872,0
0,96,3,0.87982,0.0595,1,8.388393368512528,0
0,96,4,0.85409,0.04865,1,11.088251900830716,0
0,97,2,0.92194,0.07806,1,5.667363652097577,0
0,97,3,0.88118,0.05967,1,8.381378138315593,0
0,97,4,0.85564,0.04754,1,11.080858693406311,0
0,98,2,0.92073,0.07927,1,5.697846117683097,0
0,98,3,0.88099,0.05977,1,8.422281237876815,0
0,98,4,0.85401,0.0488,1,11.128928735650499,0
0,99,2,0.92146,0.07854,1,5.697261373617056,0
0,99,3,0.88447,0.05699,1,8.414664127537957,0
0,99,4,0.85709,0.04741,1,11.117961796856841,0
0,100,2,0.92056,0.07944,1,5.719256186952552,0
0,100,3,0.88152,0.0602,1,8.463346350163716,0
0,100,4,0.85443,0.04816,1,11.173120886830242,0
0,105,2,0.92195,0.07805,1,5.767112101284594,0
0,105,3,0.88592,0.05792,1,8.522611767780306,0
0,105,4,0.86053,0.0462,1,11.270176256785758,0
0,110,2,0.92438,0.07562,1,5.816475068051982,0
0,110,3,0.88671,0.05663,1,8.618385228496134,0
0,110,4,0.86444,0.04547,1,11.375680813509222,0
0,115,2,0.9262,0.0738,1,5.85804352100656,0
0,115,3,0.89033,0.05427,1,8.674443609385294,0
0,115,4,0.86514,0.04593,1,11.473421855742114,0
0,120,2,0.92775,0.07225,1,5.911377888536495,0
0,120,3,0.89076,0.05479,1,8.768248220784157,0
0,120,4,0.86641,0.04462,1,11.597168866587882,0
0,125,2,0.92827,0.07173,1,5.953933401668496,0
0,125,3,0.89377,0.0534,1,8.806500609876117,0
0,125,4,0.87098,0.04317,1,11.67000365410608,0
0,130,2,0.93099,0.06901,1,6.003698364872509,0
0,130,3,0.89589,0.05234,1,8.89316558974234,0
0,130,4,0.87419,0.04292,1,11.767299568909635,0
0,135,2,0.93322,0.06678,1,6.025890161286247,0
0,135,3,0.89878,0.05096,1,8.948698631989242,0
0,135,4,0.87738,0.04164,1,11.826217960442314,0
0,140,2,0.93393,0.06607,1,6.072200902607036,0
0,140,3,0.90004,0.05003,1,9.02324200881105,0
0,140,4,0.87843,0.03987,1,11.932435048413936,0
0,145,2,0.93501,0.06499,1,6.1056782754907095,0
0,145,3,0.90179,0.04943,1,9.063321767949942,0
0,145,4,0.87922,0.0405,1,12.006587048580617,0
0,150,2,0.93571,0.06429,1,6.150971760555425,0
0,150,3,0.9028,0.04851,1,9.137150711496872,0
0,150,4,0.8826,0.0397,1,12.084126569944441,0
0,155,2,0.93675,0.06325,1,6.176228448029056,0
0,155,3,0.90527,0.04709,1,9.18115907131354,0
0,155,4,0.88379,0.03867,1,12.15341295262682,0
0,160,2,0.93561,0.06439,1,6.226577904136403,0
0,160,3,0.90682,0.04725,1,9.237406571109897,0
0,160,4,0.88642,0.03913,1,12.225527053881946,0
0,165,2,0.93888,0.06112,1,6.244381521769876,0
0,165,3,0.90797,0.04561,1,9.275325089045252,0
0,165,4,0.88761,0.03775,1,12.283775100974273,0
0,170,2,0.93903,0.06097,1,6.28549209359706,0
0,170,3,0.90865,0.04579,1,9.343049677472187,0
0,170,4,0.88886,0.03689,1,12.366339814524578,0
0,175,2,0.94145,0.05855,1,6.308563934566827,0
0,175,3,0.91172,0.04419,1,9.369109130105384,0
0,175,4,0.89171,0.03629,1,12.406384281248492,0
0,180,2,0.94039,0.05961,1,6.34577634689066,0
0,180,3,0.91029,0.04492,1,9.430222918683649,0
0,180,4,0.89406,0.03575,1,12.48307223475228,0
0,185,2,0.94138,0.05862,1,6.37494192780015,0
0,185,3,0.91284,0.04331,1,9.466908262311582,0
0,185,4,0.89212,0.03531,1,12.549913661762313,0
0,190,2,0.94242,0.05758,1,6.402054107095953,0
0,190,3,0.91522,0.04147,1,9.51160757862133,0
0,190,4,0.89669,0.03391,1,12.601215095789719,0
0,195,2,0.94287,0.05713,1,6.427967226956519,0
0,195,3,0.91648,0.04256,1,9.538181416216363,0
0,195,4,0.89896,0.03346,1,12.647858940183848,0
0,200,2,0.94354,0.05646,1,6.454260337671884,0
0,200,3,0.91699,0.04133,1,9.603329914264776,0
0,200,4,0.89719,0.03328,1,12.725993859040798,0
0,205,2,0.94485,0.05515,1,6.476229475242536,0
0,205,3,0.91745,0.04045,1,9.623775833393129,0
0,205,4,0.89904,0.03331,1,12.768995091114984,0
0,210,2,0.9447,0.0553,1,6.502963050714896,0
0,210,3,0.91694,0.04102,1,9.683580548586157,0
0,210,4,0.8994,0.03363,1,12.836937846188645,0
0,215,2,0.94528,0.05472,1,6.528429212209112,0
0,215,3,0.91858,0.04032,1,9.706370983379921,0
0,215,4,0.89904,0.03311,1,12.885488125092476,0
0,220,2,0.94634,0.05366,1,6.552641872803525,0
0,220,3,0.91827,0.04126,1,9.75845073620168,0
0,220,4,0.90258,0.03206,1,12.925361860146914,0
0,225,2,0.9474,0.0526,1,6.576730818055698,0
0,225,3,0.92282,0.03872,1,9.771534590358428,0
0,225,4,0.90224,0.03241,1,12.97935420120681,0
0,230,2,0.9467,0.0533,1,6.612030621016047,0
0,230,3,0.92146,0.03933,1,9.821994433780722,0
0,230,4,0.90592,0.03161,1,13.021107518619683,0
0,235,2,0.94878,0.05122,1,6.620087868872294,0
0,235,3,0.92265,0.0386,1,9.849453313567686,0
0,235,4,0.90538,0.03116,1,13.074766031698791,0
0,240,2,0.94934,0.05066,1,6.643118794174831,0
0,240,3,0.9234,0.03821,1,9.888788215279419,0
0,240,4,0.90604,0.03215,1,13.128194098932585,0
0,245,2,0.9488,0.0512,1,6.667706977323704,0
0,245,3,0.92312,0.03879,1,9.932552678327129,0
0,245,4,0.90783,0.03073,1,13.166957570443367,0
0,250,2,0.94977,0.05023,1,6.689691924594441,0
0,250,3,0.92438,0.03808,1,9.960269440728123,0
0,250,4,0.90778,0.03078,1,13.20781836068977,0
0,255,2,0.95037,0.04963,1,6.714949506565149,0
0,255,3,0.92536,0.03744,1,9.993478880490718,0
0,255,4,0.91029,0.02904,1,13.253612716628634,0
0,260,2,0.9506,0.0494,1,6.729978551693006,0
0,260,3,0.9269,0.03695,1,10.02061144633742,0
0,260,4,0.91006,0.02985,1,13.293259862921571,0
0,265,2,0.95158,0.04842,1,6.752005988634068,0
0,265,3,0.92811,0.03549,1,10.060777728621064,0
0,265,4,0.91105,0.02998,1,13.336507460891786,0
0,270,2,0.95141,0.04859,1,6.772752232515199,0
0,270,3,0.92793,0.0359,1,10.101010993749233,0
0,270,4,0.9123,0.02923,1,13.380716859280989,0
0,275,2,0.95256,0.04744,1,6.784294451175747,0
0,275,3,0.92808,0.03645,1,10.116590307039546,0
0,275,4,0.91268,0.02837,1,13.407332423313829,0
0,280,2,0.95195,0.04805,1,6.812208867553468,0
0,280,3,0.92854,0.03606,1,10.150458482848492,0
0,280,4,0.91336,0.02886,1,13.456224661495808,0
0,285,2,0.95307,0.04693,1,6.8263605894918475,0
0,285,3,0.93085,0.03405,1,10.15818403700237,0
