probPopping,threshold,numChoices,share1,share2,time,noResolution,startingContents,increaseRates,discoveryRate,discoveryRateOptimal,recruitmentRate
0,5,2,0.1101,0.8899,53.70670737,0,"(0, 0)","((2,), (1,))",0.1,0.1,0.5
0,5,2,0.5443,0.4557,53.91575191,0,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,5,2,0.9167,0.0833,52.67269607,0,"(0, 0)","((2,), (1,))",0.1,0.9,0.5
0,5,2,0.0911,0.9089,4.882350476,0,"(0, 0)","((2,), (1,))",0.5,0.1,0.5
0,5,2,0.5821,0.4179,4.821198824,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,5,2,0.9599,0.0401,4.393637951,0,"(0, 0)","((2,), (1,))",0.5,0.9,0.5
0,5,2,0.0686,0.9314,2.996725838,0,"(0, 0)","((2,), (1,))",0.9,0.1,0.5
0,5,2,0.581,0.419,3.029652402,0,"(0, 0)","((2,), (1,))",0.9,0.5,0.5
0,5,2,0.9778,0.0222,2.644227835,0,"(0, 0)","((2,), (1,))",0.9,0.9,0.5
0,5,2,0.1203,0.8797,53.1272672,0,"(0, 0)","((100,), (1,))",0.1,0.1,0.5
0,5,2,0.5644,0.4356,52.79865669,0,"(0, 0)","((100,), (1,))",0.1,0.5,0.5
0,5,2,0.9272,0.0728,50.69378779,0,"(0, 0)","((100,), (1,))",0.1,0.9,0.5
0,5,2,0.1337,0.8663,4.802399423,0,"(0, 0)","((100,), (1,))",0.5,0.1,0.5
0,5,2,0.632,0.368,4.335392499,0,"(0, 0)","((100,), (1,))",0.5,0.5,0.5
0,5,2,0.967,0.033,3.688592846,0,"(0, 0)","((100,), (1,))",0.5,0.9,0.5
0,5,2,0.1214,0.8786,2.853382215,0,"(0, 0)","((100,), (1,))",0.9,0.1,0.5
0,5,2,0.6342,0.3658,2.617826724,0,"(0, 0)","((100,), (1,))",0.9,0.5,0.5
0,5,2,0.9815,0.0185,2.143952444,0,"(0, 0)","((100,), (1,))",0.9,0.9,0.5
0,6,2,0.1082,0.8918,53.93251317,0,"(0, 0)","((2,), (1,))",0.1,0.1,0.5
0,6,2,0.5502,0.4498,53.974448,0,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,6,2,0.9223,0.0777,52.13971952,0,"(0, 0)","((2,), (1,))",0.1,0.9,0.5
0,6,2,0.0851,0.9149,5.234123412,0,"(0, 0)","((2,), (1,))",0.5,0.1,0.5
0,6,2,0.601,0.399,5.134531613,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,6,2,0.9694,0.0306,4.606113734,0,"(0, 0)","((2,), (1,))",0.5,0.9,0.5
0,6,2,0.0569,0.9431,3.242892286,0,"(0, 0)","((2,), (1,))",0.9,0.1,0.5
0,6,2,0.5915,0.4085,3.294383751,0,"(0, 0)","((2,), (1,))",0.9,0.5,0.5
0,6,2,0.9836,0.0164,2.845019467,0,"(0, 0)","((2,), (1,))",0.9,0.9,0.5
0,6,2,0.128,0.872,54.63597745,0,"(0, 0)","((100,), (1,))",0.1,0.1,0.5
0,6,2,0.5878,0.4122,53.01892194,0,"(0, 0)","((100,), (1,))",0.1,0.5,0.5
0,6,2,0.9328,0.0672,53.42965775,0,"(0, 0)","((100,), (1,))",0.1,0.9,0.5
0,6,2,0.153,0.847,5.055890398,0,"(0, 0)","((100,), (1,))",0.5,0.1,0.5
0,6,2,0.6819,0.3181,4.440448613,0,"(0, 0)","((100,), (1,))",0.5,0.5,0.5
0,6,2,0.9764,0.0236,3.719776541,0,"(0, 0)","((100,), (1,))",0.5,0.9,0.5
0,6,2,0.1372,0.8628,3.096713911,0,"(0, 0)","((100,), (1,))",0.9,0.1,0.5
0,6,2,0.6749,0.3251,2.746223398,0,"(0, 0)","((100,), (1,))",0.9,0.5,0.5
0,6,2,0.9867,0.0133,2.186190894,0,"(0, 0)","((100,), (1,))",0.9,0.9,0.5
0,7,2,0.1133,0.8867,54.13360071,0,"(0, 0)","((2,), (1,))",0.1,0.1,0.5
0,7,2,0.5568,0.4432,54.40710619,0,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,7,2,0.9192,0.0808,53.52913307,0,"(0, 0)","((2,), (1,))",0.1,0.9,0.5
0,7,2,0.0889,0.9111,5.464420818,0,"(0, 0)","((2,), (1,))",0.5,0.1,0.5
0,7,2,0.6093,0.3907,5.328495647,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,7,2,0.9741,0.0259,4.801463009,0,"(0, 0)","((2,), (1,))",0.5,0.9,0.5
0,7,2,0.0564,0.9436,3.464145077,0,"(0, 0)","((2,), (1,))",0.9,0.1,0.5
0,7,2,0.6131,0.3869,3.529791197,0,"(0, 0)","((2,), (1,))",0.9,0.5,0.5
0,7,2,0.9895,0.0105,3.001996765,0,"(0, 0)","((2,), (1,))",0.9,0.9,0.5
0,7,2,0.139,0.861,54.4877975,0,"(0, 0)","((100,), (1,))",0.1,0.1,0.5
0,7,2,0.6015,0.3985,53.56573725,0,"(0, 0)","((100,), (1,))",0.1,0.5,0.5
0,7,2,0.9389,0.0611,52.24070261,0,"(0, 0)","((100,), (1,))",0.1,0.9,0.5
0,7,2,0.1703,0.8297,5.282389031,0,"(0, 0)","((100,), (1,))",0.5,0.1,0.5
0,7,2,0.7131,0.2869,4.479656008,0,"(0, 0)","((100,), (1,))",0.5,0.5,0.5
0,7,2,0.9807,0.0193,3.729811495,0,"(0, 0)","((100,), (1,))",0.5,0.9,0.5
0,7,2,0.1484,0.8516,3.321515003,0,"(0, 0)","((100,), (1,))",0.9,0.1,0.5
0,7,2,0.72,0.28,2.806081288,0,"(0, 0)","((100,), (1,))",0.9,0.5,0.5
0,7,2,0.9927,0.0073,2.201767987,0,"(0, 0)","((100,), (1,))",0.9,0.9,0.5
0,8,2,0.116,0.884,54.20353751,0,"(0, 0)","((2,), (1,))",0.1,0.1,0.5
0,8,2,0.5541,0.4459,54.37649988,0,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,8,2,0.9342,0.0658,53.16883285,0,"(0, 0)","((2,), (1,))",0.1,0.9,0.5
