probPopping,threshold,numTargets,optimal,optimal2,increase2,time,noResolution
0,5,3,0.62181,0.18949,1,2.6036731385297944,0
0,5,3,0.4667,0.41257,2,2.0815988993522585,0
0,6,3,0.68107,0.15961,1,2.785794470031603,0
0,6,3,0.54391,0.3514,2,2.343505464370322,0
0,7,3,0.72391,0.1375,1,2.9181291173004604,0
0,7,3,0.55584,0.36325,2,2.3844161986361847,0
0,8,3,0.72151,0.14092,1,3.3202154139386297,0
0,8,3,0.55154,0.36499,2,2.7875097861628024,0
0,9,3,0.74685,0.1271,1,3.4201562081254315,0
0,9,3,0.55874,0.37118,2,2.811258491122726,0
0,10,3,0.77307,0.11478,1,3.493810817493495,0
0,10,3,0.60125,0.33695,2,2.942490802318165,0
0,11,3,0.77006,0.1157,1,3.7893774986380846,0
0,11,3,0.56714,0.37412,2,3.127965509062541,0
0,12,3,0.78814,0.10521,1,3.8391265451076433,0
0,12,3,0.5975,0.34883,2,3.2328712200195966,0
0,13,3,0.80522,0.09689,1,3.886147408605472,0
0,13,3,0.60479,0.34761,2,3.246612851518714,0
0,14,3,0.80122,0.09872,1,4.12125901381908,0
0,14,3,0.6037,0.34873,2,3.475229391715803,0
0,15,3,0.81513,0.09293,1,4.155223256877285,0
0,15,3,0.6053,0.35256,2,3.4854062209462224,0
0,16,3,0.82852,0.08631,1,4.18877189736991,0
0,16,3,0.62622,0.33404,2,3.55824273146315,0
0,17,3,0.82592,0.08713,1,4.3684702931710415,0
0,17,3,0.60936,0.35319,2,3.6791862494610634,0
0,18,3,0.83524,0.08217,1,4.4032288517643465,0
0,18,3,0.62936,0.33384,2,3.7438823026294874,0
0,19,3,0.84293,0.07908,1,4.431449399389807,0
0,19,3,0.63064,0.3365,2,3.746304875246379,0
0,20,3,0.8435,0.07753,1,4.583545461834121,0
0,20,3,0.63122,0.3359,2,3.9041688759610946,0
0,21,3,0.84826,0.07656,1,4.6110043419808555,0
0,21,3,0.62922,0.34106,2,3.9119779922583433,0
0,22,3,0.85612,0.0716,1,4.626976033745431,0
0,22,3,0.64652,0.32516,2,3.9617256576068955,0
0,23,3,0.85757,0.07064,1,4.764377595621079,0
0,23,3,0.63317,0.33913,2,4.042997124240513,0
0,24,3,0.86504,0.06654,1,4.777086260165705,0
0,24,3,0.64535,0.32738,2,4.097375895327222,0
0,25,3,0.8696,0.0653,1,4.7885371626649516,0
0,25,3,0.6467,0.32893,2,4.098330038511518,0
0,26,3,0.8689,0.0654,1,4.906063737334081,0
0,26,3,0.64924,0.32575,2,4.212908896942478,0
0,27,3,0.87385,0.06205,1,4.927423635846326,0
0,27,3,0.64609,0.33013,2,4.226596639749086,0
0,28,3,0.87853,0.06031,1,4.949487216246955,0
0,28,3,0.6583,0.31964,2,4.254455855101008,0
0,29,3,0.87962,0.06005,1,5.047605535127362,0
0,29,3,0.64778,0.33012,2,4.326744718396694,0
0,30,3,0.88079,0.06013,1,5.052682502049795,0
0,30,3,0.66111,0.31752,2,4.358432616097779,0
0,31,3,0.88487,0.05793,1,5.073595077587499,0
0,31,3,0.66171,0.31904,2,4.368462645872903,0
0,32,3,0.88563,0.05765,1,5.168796788216465,0
0,32,3,0.661,0.3194,2,4.4536442972247885,0
0,33,3,0.88828,0.05667,1,5.182602806777681,0
0,33,3,0.65785,0.32353,2,4.459755552957358,0
